x(mm);doble 1;doble 2;doble 3;doble 4;doble 5;doble 6;izquierda 1;izquierda 2;izquierda 3;izquierda 4;izquierda 5;izquierda 6;derecha 1;derecha 2;derecha 3;derecha 4;derecha 5;derecha 6
2.96;384;356;370;340;322;354;92;100;84;100;88;116;94;72;104;96;68;88
2.97;348;350;362;340;418;370;90;102;72;102;108;78;98;96;96;98;96;84
2.98;350;346;380;394;422;340;110;92;118;88;96;98;84;80;78;112;96;94
2.99;398;386;394;362;350;350;104;82;98;102;96;84;84;92;74;118;106;96
3.00;424;414;376;362;382;414;84;94;94;76;92;108;76;86;98;116;92;72
3.01;406;384;372;362;398;368;86;76;94;96;90;106;86;70;98;96;100;110
3.02;386;388;356;366;332;374;74;82;92;90;94;92;104;100;108;94;96;84
3.03;366;396;372;404;374;384;80;78;96;110;98;98;88;88;96;96;78;104
3.04;392;362;374;352;368;384;80;92;78;92;94;94;84;100;116;118;86;112
3.05;388;366;360;366;360;398;94;90;92;100;72;94;92;102;98;110;92;104
3.06;350;334;378;388;368;342;86;74;80;84;100;86;94;108;90;92;94;96
3.07;348;344;366;358;330;354;104;84;84;100;110;98;80;94;90;100;116;104
3.08;368;356;294;330;372;364;82;112;94;84;74;94;104;86;104;102;118;100
3.09;314;350;316;348;340;344;102;96;102;100;78;86;90;106;100;78;102;112
3.10;338;336;304;322;328;326;80;88;100;92;96;110;102;108;84;106;92;86
3.11;270;326;262;326;300;344;74;78;96;108;84;96;122;100;100;90;94;90
3.12;302;312;328;300;276;328;84;100;94;78;92;102;76;114;94;88;114;122
3.13;290;292;298;274;304;268;92;74;72;76;80;74;98;80;78;88;106;96
3.14;224;254;232;264;272;262;96;88;64;68;86;88;108;114;94;106;88;98
3.15;258;248;242;244;268;254;82;100;112;90;94;98;98;76;86;112;104;98
3.16;246;246;244;252;238;248;86;78;104;78;86;86;114;78;98;98;88;112
3.17;202;224;226;242;224;206;68;102;84;70;82;90;76;84;102;100;82;92
3.18;210;194;180;226;192;232;76;90;70;90;76;96;104;106;94;96;90;106
3.19;198;196;202;216;192;202;74;98;78;88;84;94;114;100;86;104;108;74
3.20;176;206;180;168;164;162;70;70;94;80;66;80;88;100;106;106;78;120
3.21;168;190;174;162;162;186;90;102;102;76;88;108;116;82;98;90;122;94
3.22;148;134;118;136;128;142;100;86;96;78;98;78;116;82;80;74;80;84
3.23;114;114;136;126;122;150;84;96;100;92;98;96;94;110;90;84;92;88
3.24;106;130;120;126;114;124;86;68;98;82;66;88;92;98;82;118;124;104
3.25;86;96;96;86;122;126;74;74;74;84;84;74;110;84;98;100;104;98
3.26;92;88;88;94;76;70;66;62;78;76;104;62;82;118;96;106;122;84
3.27;72;76;54;90;82;74;100;102;102;80;74;86;94;76;116;108;110;102
3.28;60;46;54;70;64;56;72;82;70;82;102;82;104;86;88;104;100;98
3.29;54;70;48;70;54;60;88;86;74;62;68;78;92;106;102;82;116;80
